계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
서준원16,5,2026.03.29,1번째 방문,영수증,음식이 양도 진짜 많고 맛있어요 오래 기다리는 이유가 있는거 같아요! 차돌들기름국수 꼭 드셔보세요..,56,True
son****,14,2026.04.05,1번째 방문,영수증,다 맛있어요! 특히 차돌 들기름국수 존맛탱탱볼,25,True
Hailey8945,29,2026.04.05,1번째 방문,영수증,맛있어요ㅠㅠㅠㅠ 오픈런하길 잘했어요 정말~!~!,26,True
서영6077,12,2026.03.25,1번째 방문,영수증,양도 많고 음식이 다 정말 맛있어요!! 완전 강추합니다,30,True
포르툴라야,145,2025.10.12,1번째 방문,영수증,"🥢 퓨전한식집🇰🇷 오이지 대학로점 방문 후기 차돌 들기름 국수와 흑임자크림 수제비 주문했어요 🍜 기본찬으로는 오이장아찌와 양배추피클이 나왔는데, 간이 살짝 달달했어요 🥒 ✨ 차돌 들기름 국수 들기름 향이 향기로웠습니다. 보리국수면이 쫄깃하고, 달짝지근한 소스에 고소한 들깨가 톡톡 씹혀요. 다만 차돌은 비계가 조금 많았어요 🥩 🖤 흑임자 크림 수제비 메뉴판 그림보다 흑임자 양이 적어서 진한 맛은 덜했지만, 부드러운 크림 소스에 수제비를 떠먹으니 은근히 고소하고 든든했어요 🍲 한식의 따뜻함에 양식의 부드러움을 살짝 더한 느낌이었어요 🙂 전체적으로 찬과 음식 모두 단맛이 살짝 강해서 호불호가 갈릴 수 있겠지만, 가볍게 즐기기엔 괜찮은 퓨전 한 끼였어요 🌿",367,True
0키진,9,2026.04.09,1번째 방문,영수증,음식이 맛있고 데이트 하기 좋아요,18,True
kjk****,17,2026.03.22,1번째 방문,영수증,올 때마다 웨이팅 있어서 기다렸는데 오늘은 바로 입장했습니다 너무 맛있게 잘 먹고 갑니다,49,True
연쇄 팩트범,2162,2026.01.13,1번째 방문,영수증,가격 비싼편이고 이퀄리티인데 이 가격이니까 전 다신 안가고 싶어요. 그리고 무엇보다 점원분들 태도가 정말 .. 할 말이 없더군요. 데이트 코스로 갔다면 데이트하다가 기분 안좋아졌을 거 같아요. 분위기는 소개팅/데이트 하기 적합한 분위기라 유명해진거같은데 점원분들은 교육을 안받으신건지.. 음식 주고 가실때도 ‘세팅’ 이 아니라 그냥 음식을 놓고가는데만 급급하시더라고요. 반찬도 그렇고 메인디시도 그렇고요. 이런 곳 처음이에요. 그리고 계산하러 가면 아니 어디서 계산하는지도 모르겠고 그냥 손가락질만 하시네요. 기분나빴습니다. 계산하러가면 직원분들이 위치 확인해서 계산해주셔여 하는거 아닌가요? 잘못계산해서 다시결제했습니다. 아무튼 저는 다신 안가요 가실 분들 많이 가세요,375,True
toki1338,1839,2026.01.28,1번째 방문,영수증,단짠단짠 들기름 막국수 맛있어요 순두부는 부드럽고 반찬으로 나온 오이지무침도 맛있구 먹으면서 젊은 사람들 입에 맞게 퓨전으로 개발한거같단 생각을 했어요 다음에 또 가게 된다면 들기름 막국수랑 다른 음식도 먹어보고싶네요,121,True
Lucy2025,540,2025.11.23,1번째 방문,영수증,꼬막비빔밥먹으러 찾아간 오이지~~~ 오이피클에 오이지 매콤양념이 기본반찬으로 . 동서양의 맛으로 딱입니다. 냉우동도 역시 납짝면으로 독특한 일본의향이였어요.,87,True
혀니90,95,2025.10.19,1번째 방문,영수증,대학로 맛집이라고 해서 가봤는데 너무 맛있게 먹고 나온거 같아요 특히 저 미나리새우전의 바삭함과 반찬으로 나온 오이지 최고에요. 아이가 같이 있어 막걸리를 주문 못한게 너무 아쉽고..다음번엔 다른 메뉴도 주문해봐야 겠습니다. 200프로 강추 합니다.,139,True
qid****,5,2026.03.30,1번째 방문,영수증,양이 많고 맛있어요 👍👍👍👍분위기가 좋아서 데이트 하기 좋슴미다,35,True
gaerrrrrr,53,2026.03.28,1번째 방문,영수증,맛있어요 종종 옵니다,11,True
늪이,16,2026.03.28,1번째 방문,영수증,들막 순두부찌개 너무 맛있어요 ~,18,True
c2****,46,2026.03.15,1번째 방문,영수증,혜화 갈때 자주 가는데 자주 가면 질려야되는데 어째서인지 계속 맛있어요 👍😘 퓨전 한식인데 거부감이 없이 맛있어서 좋아요 !!,70,True
오리의 여행,151,2025.11.04,1번째 방문,영수증,명란치즈순두부를 먹었는데 체다 치즈가 아닌 모짜렐라가 올라가있었다. 무난하게 맛있었다. 근데 계란이 흰자까지 하나도 안 익은 상태로 나와서 조금 당황했으나 잘 섞고 기다리니 익었다. 밑에 작은 양초를 켜주셔서 식지 않게 먹을 수 있었음. 마지막에 양초 타는 냄새는 조금 거슬렸다 ㅠㅠ,158,True
foodie써니,1841,2025.12.26,2번째 방문,예약,명란치즈순두부 추운 날 뜨끈하니 맛나고 감자치즈전도 바삭하니 굿. 사과막걸리는 술 못하는 내가 마셔도 넘 맛나요.,63,True
먹대장23,1146,2025.11.23,1번째 방문,영수증,명란치즈순두부 차돌떡볶이 흑임자크림수지비 바싹치즈감자전 주문했어요 웨이팅도 제법 있었는데 주문하고 나니 음식도 금방 나왔어요 잘먹고 갑니다,77,True
listke,164,2026.03.21,1번째 방문,영수증,맛있어요 ~~ 다음에 또 올게요,17,True
lcm****,46,2026.03.21,1번째 방문,영수증,왜 웨이팅이 많은지 알것같음. 맛있어요 재방문의사 100!!!!!!,37,True
아마추어32,1568,2026.02.24,1번째 방문,영수증,김치차슈는 고기가 부드럽고 불향이 제대로 있어서 맛있어요. 밑반찬이랑 씻은 김치 조합이 좋네요. 맛도 깔끔합니다. 옥수수전은 생각보다 양도 많고 옥수수 외에 토핑이 더 있어서 그런지 식감이 좋네요. 잘먹었어요.,117,True
esther41,13,2026.03.18,1번째 방문,영수증,메뉴가 다양하고 맛있어요 ㅡ 인기장소라 조금 시끄러운건 있어요ㅠㅠ,36,True
정쌈지,10,2026.03.17,1번째 방문,영수증,음식도 바로 나오고 매장 분위기도 좋고 추천해요!!!👍👍👍👍👍,34,True
wjd****,5,2026.03.24,1번째 방문,영수증,완전 느좋 맛난 식당입니다,14,True
박주연7898,20,2026.03.18,1번째 방문,영수증,맛있고 깨끗해요,8,True
life105774,19,2026.03.28,1번째 방문,영수증,항상 맛있게 잘 먹습니다!,14,True
성진킴26,92,2026.03.17,1번째 방문,영수증,들기름 국수 맛있게 먹었어요!~,17,True
패스워드53,176,2025.11.29,1번째 방문,영수증,유니크한 메뉴가 있고 하나하나가 다 맛있어요. 다만 흑임자크림수제비는 수제비가 좀 뭉쳐진게 약간 아쉬웠어요. 그래도 또 찾아가서 다른 메뉴도 먹어보고 싶단 생각이 들었습니다.,97,True
rna****,14,2026.04.01,1번째 방문,영수증,먹은 두 메뉴 모두 추천합니다! 막국수 간도 적당했고 수제비도 너무 느끼하지 않아서 맛있었어요!,53,True
OBND,1857,2026.01.15,12번째 방문,영수증,"순두부 들기름국수 최고, 물김치 맛있어요",22,True
